epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,926.547,1.68444,3.39236,4.36336,0.01919,2.94892,0.2633,0.24831,0.17984,0.08692,0.24906,0.2268,0.15877,0.07745,1.86212,3.32243,3.29349,0.0307,0,0.00999282,0.00333094,0.00999282,0.00333094,0.0766834,0.0700215,0.00999282,0.00333094
2,1752.43,1.69977,3.10178,2.89437,0.01866,2.12376,0.30397,0.26078,0.19228,0.08561,0.28335,0.23665,0.17005,0.07982,1.91515,3.30169,3.18607,0.03176,0,0.0198609,0.00662029,0.0198609,0.00662029,0.0532181,0.0399776,0.0198609,0.00662029
3,2556.38,1.80185,3.2125,3.05769,0.02009,2.18499,0.26469,0.22897,0.17053,0.06825,0.25773,0.21053,0.14807,0.0586,2.05152,3.47781,3.3363,0.03442,0,0.0295969,0.00986564,0.0295969,0.00986564,0.0296208,0.00988957,0.0295969,0.00986564
4,3354.17,1.86101,3.3265,3.22393,0.02084,2.15127,0.29276,0.24526,0.18707,0.07983,0.28626,0.23131,0.17201,0.07482,1.96201,3.2632,3.32666,0.03235,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,4152.43,1.83694,3.25471,3.13307,0.02037,2.0962,0.30703,0.25473,0.2042,0.08662,0.29854,0.23146,0.18569,0.08111,1.96321,3.30792,3.29627,0.03219,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,4950.36,1.80233,3.18426,3.04414,0.01979,1.98727,0.34853,0.27826,0.22335,0.10513,0.33155,0.26102,0.20243,0.09501,1.87784,3.16836,3.09664,0.03028,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,5748.73,1.77395,3.12076,2.961,0.01922,1.9318,0.3298,0.30358,0.24967,0.11668,0.33399,0.28583,0.23202,0.10728,1.87807,3.11232,3.01211,0.03017,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,6545.91,1.7447,3.07184,2.91161,0.01872,1.90213,0.37828,0.28328,0.24908,0.12254,0.37243,0.27037,0.23278,0.11575,1.85768,3.13277,3.018,0.02937,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,7343.51,1.7273,3.03371,2.87072,0.01832,1.84605,0.38395,0.31253,0.27201,0.13523,0.37665,0.29551,0.25234,0.12017,1.82295,3.02348,2.93619,0.02897,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,8142.13,1.7198,3.00353,2.82437,0.01829,1.79711,0.35496,0.33879,0.27108,0.13685,0.36114,0.31412,0.25073,0.12469,1.82627,3.03514,2.90804,0.02878,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,8940.37,1.69459,2.94497,2.75373,0.01793,1.76741,0.37522,0.32718,0.28781,0.15123,0.37752,0.30646,0.26419,0.13312,1.76982,2.96797,2.84054,0.02761,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,9738.18,1.68539,2.9209,2.72605,0.01787,1.70402,0.38924,0.35111,0.30282,0.15569,0.38399,0.33453,0.28135,0.14189,1.79026,2.91316,2.78563,0.02802,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,10539.7,1.67578,2.90732,2.6996,0.01762,1.70305,0.40905,0.35027,0.31519,0.1629,0.39824,0.33627,0.29325,0.14406,1.79328,2.913,2.7424,0.02828,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,11336.7,1.65846,2.87632,2.67016,0.01746,1.7015,0.40874,0.35306,0.32102,0.17028,0.39707,0.33937,0.30111,0.15579,1.75265,2.86062,2.69331,0.02752,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,12133.1,1.64991,2.83976,2.63812,0.01747,1.64353,0.43599,0.36691,0.34686,0.18007,0.42559,0.34368,0.31601,0.16187,1.7498,2.83812,2.66344,0.02735,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,12930.2,1.63504,2.83163,2.60668,0.01705,1.64553,0.45345,0.36526,0.34679,0.18267,0.43729,0.35174,0.32365,0.16574,1.76021,2.8435,2.60455,0.02733,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
